id_venta,producto_id,cliente_id,fecha,cantidad,precio
1,140,29,2024-01-04,6,20.08
2,147,71,2024-02-01,5,69.93
3,114,36,2024-01-14,3,28.1
4,143,190,2024-03-10,1,102.91
5,105,152,2024-02-24,1,22.14
6,102,8,2024-01-12,2,85.1
7,113,60,2024-03-05,4,28.58
8,138,7,2024-03-12,1,84.4
9,112,184,2024-03-24,1,106.82
10,144,140,2024-02-23,1,38.14
11,114,115,2024-03-16,4,24.35
12,117,2,2024-01-21,1,69.47
13,144,109,2024-02-13,3,36.35
14,117,40,2024-01-28,4,59.78
15,148,87,2024-01-14,2,62.66
16,105,98,2024-01-13,4,23.51
17,122,89,2024-03-18,2,35.23
18,116,12,2024-02-28,2,38.59
19,134,32,2024-02-18,3,119.24
20,105,142,2024-02-07,5,22.81
21,140,159,2024-02-16,1,19.84
22,136,50,2024-03-31,4,40.52
23,104,12,2024-03-25,4,22.91
24,114,198,2024-02-07,2,25.53
25,105,60,2024-01-13,1,21.14
26,124,72,2024-02-28,1,59.02
27,140,94,2024-01-21,2,19.06
28,123,91,2024-01-27,5,44.77
29,142,69,2024-03-30,2,9.41
30,143,166,2024-01-10,1,100.3
31,138,163,2024-01-22,1,78.02
32,134,187,2024-02-01,5,123.2
33,110,119,2024-02-18,3,7.92
34,117,164,2024-03-29,4,61.25
35,135,57,2024-03-28,5,98.74
36,120,197,2024-01-08,4,81.33
37,114,9,2024-02-10,2,23.89
38,125,69,2024-01-09,1,93.91
39,113,146,2024-02-10,4,31.54
40,113,168,2024-03-04,1,29.48
41,125,165,2024-02-28,2,90.0
42,109,68,2024-01-18,1,83.62
43,115,191,2024-03-12,5,25.17
44,134,68,2024-03-15,2,120.76
45,127,150,2024-02-21,2,70.19
46,123,57,2024-01-18,6,44.79
47,132,127,2024-01-12,2,11.98
48,148,13,2024-01-15,1,61.58
49,109,161,2024-01-21,3,86.48
50,143,109,2024-03-17,1,104.72
51,104,99,2024-02-18,5,21.75
52,138,120,2024-03-08,1,83.51
53,116,142,2024-01-02,6,37.93
54,143,185,2024-01-15,3,115.3
55,143,138,2024-02-04,1,114.57
56,149,165,2024-02-13,2,26.95
57,107,76,2024-02-25,3,105.36
58,110,117,2024-01-01,1,7.86
59,146,185,2024-02-03,2,38.29
60,132,196,2024-01-23,1,12.71
61,132,28,2024-03-21,3,11.27
62,119,164,2024-03-05,2,36.38
63,138,51,2024-01-20,3,78.24
64,123,196,2024-01-21,3,46.06
65,134,200,2024-03-08,5,107.64
66,100,154,2024-02-11,2,44.35
67,131,5,2024-01-15,5,26.47
68,123,79,2024-01-31,1,48.64
69,103,62,2024-03-13,4,74.67
70,105,22,2024-03-03,2,21.76
71,104,195,2024-03-09,1,24.76
72,149,33,2024-01-17,5,26.96
73,142,122,2024-03-11,2,8.68
74,110,68,2024-03-08,3,7.96
75,138,109,2024-01-28,5,88.37
76,134,194,2024-03-29,3,106.4
77,112,183,2024-02-09,1,108.76
78,125,172,2024-03-24,3,85.95
79,123,113,2024-03-07,1,48.67
80,128,31,2024-02-01,1,68.17
81,114,17,2024-02-13,2,26.9
82,101,151,2024-03-11,3,108.03
83,114,151,2024-01-29,3,24.55
84,100,19,2024-03-31,2,50.44
85,140,16,2024-01-30,3,20.36
86,104,9,2024-02-12,3,23.25
87,104,132,2024-01-31,1,22.33
88,117,172,2024-03-03,1,62.0
89,113,139,2024-01-17,6,28.79
90,146,147,2024-03-14,5,41.92
91,130,63,2024-03-01,4,74.91
92,126,49,2024-01-13,3,27.92
93,106,169,2024-02-25,1,12.2
94,122,109,2024-02-22,1,34.93
95,129,187,2024-01-07,3,9.67
96,143,168,2024-03-23,5,119.52
97,106,16,2024-02-21,5,11.38
98,146,87,2024-01-14,1,44.35
99,115,50,2024-01-25,2,28.53
100,134,115,2024-01-18,6,124.24
101,127,47,2024-02-05,1,62.67
102,129,64,2024-01-10,4,9.96
103,128,141,2024-01-13,1,73.96
104,103,167,2024-03-10,5,76.75
105,100,24,2024-01-31,3,44.2
106,110,105,2024-03-03,3,8.09
107,130,55,2024-02-21,1,75.14
108,103,43,2024-02-18,5,77.41
109,100,100,2024-02-03,3,50.02
110,129,74,2024-02-24,2,9.91
111,144,188,2024-03-12,4,36.92
112,142,184,2024-03-03,4,9.69
113,109,49,2024-02-07,2,86.46
114,113,15,2024-03-15,4,30.3
115,147,139,2024-01-08,3,68.64
116,147,81,2024-01-08,5,62.71
117,103,150,2024-03-02,2,67.85
118,132,136,2024-01-21,3,11.32
119,103,131,2024-01-11,2,74.48
120,111,18,2024-03-17,1,118.66
121,104,173,2024-01-31,1,20.82
122,125,31,2024-03-13,4,92.64
123,115,149,2024-03-17,1,26.21
124,102,159,2024-01-11,4,84.11
125,126,169,2024-03-15,3,25.64
126,136,134,2024-02-10,1,40.28
127,116,53,2024-03-26,2,41.09
128,145,81,2024-01-31,3,88.92
129,116,102,2024-01-17,2,38.57
130,142,166,2024-02-08,4,8.54
131,129,81,2024-01-10,2,9.47
132,100,118,2024-03-20,1,52.52
133,136,26,2024-01-10,4,41.6
134,134,55,2024-03-05,2,108.47
135,116,34,2024-02-14,1,37.99
136,104,63,2024-02-17,2,23.92
137,118,41,2024-02-26,3,52.26
138,134,181,2024-02-08,6,121.57
139,139,168,2024-03-08,3,56.86
140,100,171,2024-03-11,2,45.64
141,119,170,2024-01-14,2,40.47
142,108,68,2024-01-15,1,68.44
143,106,191,2024-03-11,1,10.61
144,109,70,2024-02-06,4,89.95
145,138,54,2024-02-13,2,76.96
146,113,176,2024-03-22,2,29.26
147,116,130,2024-03-03,1,39.46
148,116,14,2024-01-12,2,40.92
149,140,109,2024-02-05,3,17.3
150,102,1,2024-02-12,2,91.42
151,149,34,2024-03-22,2,28.13
152,116,42,2024-02-26,3,37.29
153,135,181,2024-02-24,1,100.76
154,135,3,2024-01-15,1,99.65
155,104,177,2024-01-20,5,23.29
156,134,10,2024-02-17,2,119.38
157,137,142,2024-01-19,2,16.38
158,127,33,2024-01-06,5,62.68
159,119,94,2024-01-06,6,41.61
160,122,54,2024-03-28,1,35.28
161,115,171,2024-01-14,1,23.58
162,122,200,2024-03-12,1,40.01
163,126,159,2024-01-20,1,26.95
164,115,42,2024-01-23,4,23.6
165,126,7,2024-01-23,4,26.74
166,147,86,2024-02-22,1,67.36
167,142,189,2024-02-01,3,9.63
168,117,41,2024-03-30,4,69.32
169,106,98,2024-01-05,1,10.93
170,130,57,2024-01-26,4,79.46
171,129,90,2024-02-09,6,10.16
172,114,58,2024-01-04,2,27.34
173,142,50,2024-02-21,2,9.72
174,121,72,2024-01-09,4,20.74
175,149,72,2024-02-14,4,27.6
176,141,131,2024-02-21,1,66.94
177,143,138,2024-02-12,2,116.72
178,101,30,2024-02-03,2,123.37
179,111,149,2024-02-03,2,105.14
180,102,28,2024-03-17,5,81.89
181,127,89,2024-02-10,2,69.91
182,127,156,2024-03-06,6,65.08
183,107,99,2024-03-14,3,103.53
184,112,66,2024-01-06,1,97.28
185,145,112,2024-01-01,3,85.29
186,133,138,2024-03-28,4,120.73
187,146,190,2024-03-26,1,40.8
188,112,94,2024-02-25,1,101.73
189,104,171,2024-02-12,2,24.72
190,139,81,2024-03-25,2,51.36
191,107,185,2024-02-08,1,110.08
192,132,80,2024-03-26,3,11.48
193,126,84,2024-02-21,1,29.08
194,144,76,2024-03-11,1,37.0
195,108,50,2024-02-23,3,67.92
196,142,98,2024-03-27,1,9.82
197,147,45,2024-03-19,2,63.13
198,136,78,2024-02-21,4,43.61
199,135,1,2024-02-08,6,102.93
200,118,54,2024-02-25,2,50.12
201,137,156,2024-03-24,4,16.42
202,120,120,2024-02-26,2,81.48
203,128,173,2024-01-28,1,73.02
204,132,122,2024-01-22,1,12.4
205,142,22,2024-02-06,1,8.27
206,132,170,2024-03-22,1,12.85
207,139,86,2024-01-12,4,56.55
208,148,61,2024-03-27,6,66.17
209,119,58,2024-01-26,1,41.33
210,109,7,2024-01-06,1,94.44
211,115,122,2024-03-19,1,28.54
212,149,19,2024-02-28,1,28.31
213,126,162,2024-03-14,2,30.72
214,112,184,2024-03-30,1,101.81
215,124,127,2024-02-21,6,57.72
216,115,38,2024-03-24,3,27.11
217,144,2,2024-01-14,2,35.65
218,149,109,2024-01-29,3,28.37
219,111,179,2024-03-07,1,111.43
220,129,13,2024-03-12,6,11.15
221,115,32,2024-02-28,2,26.72
222,108,119,2024-03-26,1,69.51
223,133,144,2024-03-17,2,110.77
224,120,194,2024-02-26,3,69.0
225,139,185,2024-03-05,6,61.03
226,127,141,2024-02-27,3,64.6
227,110,191,2024-03-01,2,7.83
228,128,67,2024-02-01,3,68.2
229,140,71,2024-03-07,5,20.26
230,131,161,2024-01-31,5,25.72
231,117,113,2024-01-10,3,64.28
232,145,74,2024-01-31,5,87.13
233,117,86,2024-02-10,1,59.16
234,134,21,2024-01-18,2,123.26
235,109,60,2024-02-19,6,80.39
236,144,40,2024-03-31,3,33.93
237,113,17,2024-02-23,6,31.43
238,126,85,2024-03-10,4,27.78
239,129,107,2024-01-08,2,9.87
240,113,108,2024-02-19,1,31.57
241,149,150,2024-03-30,4,28.88
242,101,196,2024-03-14,6,115.6
243,124,123,2024-01-01,4,62.56
244,122,77,2024-02-19,4,36.65
245,126,138,2024-03-10,2,25.89
246,138,57,2024-03-03,6,85.47
247,114,70,2024-02-25,1,26.8
248,131,8,2024-02-19,3,23.91
249,121,172,2024-03-27,1,21.76
250,125,186,2024-01-22,2,100.49
251,129,33,2024-03-20,2,11.07
252,134,7,2024-02-20,3,117.46
253,137,145,2024-03-25,5,15.92
254,101,22,2024-03-23,1,103.56
255,127,35,2024-02-29,4,65.68
256,111,13,2024-02-03,3,109.85
257,124,84,2024-01-28,1,51.87
258,129,84,2024-02-13,2,10.53
259,148,98,2024-02-05,2,67.02
260,148,108,2024-02-02,5,65.81
261,105,121,2024-01-03,2,24.24
262,147,139,2024-01-07,2,66.39
263,122,58,2024-03-24,4,42.07
264,104,200,2024-03-24,1,24.9
265,102,194,2024-01-04,2,84.87
266,115,52,2024-01-03,2,28.59
267,139,40,2024-01-31,2,53.72
268,108,122,2024-03-26,3,70.28
269,107,145,2024-01-28,1,96.85
270,129,180,2024-02-02,1,9.62
271,149,95,2024-01-22,1,27.0
272,138,156,2024-01-15,1,81.11
273,149,42,2024-02-09,5,26.12
274,106,149,2024-01-04,3,10.91
275,119,148,2024-03-27,1,34.96
276,124,102,2024-01-26,1,54.91
277,104,152,2024-03-29,1,21.05
278,140,63,2024-01-14,1,18.88
279,144,198,2024-02-08,1,33.82
280,143,154,2024-01-16,2,113.74
281,136,11,2024-02-14,1,42.43
282,134,110,2024-03-25,3,106.34
283,123,18,2024-03-05,5,51.1
284,141,88,2024-01-02,1,59.19
285,126,126,2024-01-14,4,29.35
286,127,93,2024-03-22,1,60.41
287,129,182,2024-01-20,2,10.31
288,127,46,2024-03-07,3,62.46
289,141,70,2024-03-19,2,65.02
290,134,199,2024-03-02,1,110.3
291,129,112,2024-03-16,3,11.16
292,117,83,2024-02-01,2,65.77
293,105,72,2024-02-27,1,22.7
294,115,193,2024-02-29,2,24.75
295,136,157,2024-03-26,1,39.05
296,124,87,2024-01-04,1,55.41
297,131,84,2024-01-24,1,23.76
298,131,55,2024-02-15,1,26.53
299,116,88,2024-02-05,3,41.42
300,138,180,2024-02-05,4,83.66
301,135,3,2024-03-07,1,98.7
302,112,22,2024-01-31,3,105.67
303,146,105,2024-03-03,2,37.81
304,135,195,2024-01-31,1,95.29
305,144,122,2024-03-23,3,35.25
306,145,126,2024-02-27,2,89.09
307,101,24,2024-02-07,3,108.32
308,114,104,2024-03-29,1,24.11
309,115,79,2024-03-25,1,24.32
310,137,95,2024-03-01,1,15.53
311,135,136,2024-02-14,1,105.74
312,127,191,2024-03-11,1,64.45
313,121,91,2024-03-30,2,23.07
314,129,70,2024-02-09,1,10.13
315,116,60,2024-01-16,6,42.91
316,146,50,2024-02-10,4,38.87
317,107,191,2024-03-09,1,108.14
318,148,177,2024-01-24,5,68.64
319,112,56,2024-03-02,3,96.3
320,117,186,2024-03-16,4,61.26
321,148,135,2024-03-17,2,66.86
322,118,26,2024-01-25,2,51.85
323,118,59,2024-02-16,1,55.88
324,111,78,2024-01-02,1,118.43
325,145,137,2024-01-17,1,80.88
326,117,12,2024-01-07,2,59.49
327,135,75,2024-03-30,2,90.81
328,108,164,2024-03-03,1,81.39
329,106,4,2024-03-14,2,12.4
330,118,121,2024-03-02,1,56.65
331,128,88,2024-01-24,4,74.53
332,103,65,2024-03-02,2,72.55
333,107,17,2024-02-21,2,113.6
334,131,19,2024-03-14,4,26.9
335,140,176,2024-01-07,1,19.91
336,109,39,2024-03-13,5,80.92
337,119,22,2024-02-01,1,40.35
338,107,143,2024-02-23,3,111.76
339,138,153,2024-03-20,1,88.63
340,114,199,2024-03-07,1,24.17
341,124,116,2024-02-26,1,61.06
342,119,151,2024-02-24,3,38.67
343,119,146,2024-03-20,2,41.39
344,103,157,2024-01-13,2,78.53
345,148,54,2024-03-21,2,66.2
346,113,68,2024-03-25,2,28.25
347,105,41,2024-01-31,4,22.95
348,111,142,2024-01-10,1,125.85
349,110,1,2024-02-22,2,7.43
350,128,177,2024-03-17,5,74.95
351,130,75,2024-01-05,1,81.46
352,114,74,2024-03-31,3,25.05
353,118,180,2024-02-28,1,57.88
354,104,176,2024-01-30,3,23.09
355,116,161,2024-03-16,5,42.3
356,142,51,2024-02-24,1,8.61
357,107,140,2024-01-29,1,109.71
358,141,39,2024-02-04,1,62.82
359,109,19,2024-01-08,4,92.94
360,110,79,2024-03-17,2,7.84
361,147,146,2024-02-06,1,69.3
362,128,32,2024-02-29,1,71.63
363,144,78,2024-03-30,4,32.33
364,125,70,2024-03-05,1,99.54
365,134,127,2024-02-26,3,119.33
366,105,154,2024-01-06,3,23.14
367,127,189,2024-02-11,1,62.16
368,138,65,2024-01-04,1,90.53
369,105,59,2024-03-27,3,22.49
370,136,151,2024-01-03,2,43.61
371,148,173,2024-02-04,1,69.04
372,136,11,2024-01-23,2,40.92
373,130,133,2024-03-24,1,80.44
374,128,72,2024-01-24,5,74.08
375,137,112,2024-03-22,3,17.6
376,131,24,2024-03-01,3,22.9
377,122,105,2024-02-12,3,39.42
378,120,172,2024-01-14,2,78.92
379,110,85,2024-02-22,5,8.0
380,144,127,2024-02-06,2,32.07
381,142,103,2024-03-11,6,9.56
382,102,117,2024-01-12,1,96.69
383,120,65,2024-02-11,4,75.64
384,107,198,2024-02-21,3,102.5
385,132,1,2024-03-25,1,12.07
386,134,119,2024-02-22,4,104.55
387,103,49,2024-03-07,2,72.35
388,123,160,2024-03-04,2,51.09
389,140,114,2024-01-07,2,18.45
390,113,69,2024-03-11,4,29.14
391,108,74,2024-02-26,1,73.42
392,144,125,2024-01-16,1,32.51
393,101,162,2024-03-18,2,112.48
394,115,182,2024-01-21,5,25.37
395,119,142,2024-01-02,3,39.51
396,135,105,2024-01-12,1,101.17
397,114,30,2024-02-29,1,28.3
398,107,166,2024-01-20,1,102.82
399,131,184,2024-02-07,1,27.06
400,132,181,2024-02-04,2,12.72
401,126,124,2024-03-01,1,29.36
402,115,117,2024-03-11,1,28.17
403,109,99,2024-01-25,1,81.08
404,138,131,2024-01-18,1,83.22
405,104,71,2024-02-23,3,20.95
406,121,130,2024-02-04,4,20.84
407,100,73,2024-02-08,2,47.5
408,137,149,2024-03-25,2,16.42
409,131,39,2024-02-27,1,23.04
410,134,124,2024-02-14,4,126.4
411,121,142,2024-03-10,2,20.08
412,124,117,2024-02-11,3,56.4
413,112,179,2024-01-31,1,93.8
414,136,99,2024-01-30,3,41.3
415,149,106,2024-01-06,1,24.8
416,120,191,2024-03-01,1,77.95
417,145,98,2024-02-19,1,74.76
418,142,167,2024-01-20,4,8.37
419,131,10,2024-01-17,3,23.32
420,132,152,2024-02-12,1,11.84
421,106,113,2024-01-13,3,12.51
422,133,117,2024-01-02,4,111.77
423,146,37,2024-02-22,3,38.44
424,141,40,2024-01-10,1,66.86
425,130,68,2024-02-13,1,68.66
426,139,178,2024-02-20,1,50.35
427,141,21,2024-02-12,1,62.98
428,143,137,2024-02-18,2,118.18
429,120,161,2024-03-03,4,72.98
430,134,10,2024-03-20,1,113.26
431,104,61,2024-03-21,3,21.88
432,143,74,2024-01-30,3,107.58
433,147,24,2024-02-25,3,63.98
434,106,195,2024-03-22,1,12.73
435,145,26,2024-02-26,4,75.35
436,110,178,2024-02-08,4,7.35
437,101,12,2024-02-11,5,121.19
438,103,76,2024-02-15,2,66.8
439,123,111,2024-01-19,1,47.52
440,115,136,2024-02-22,3,24.83
441,136,175,2024-01-24,1,42.71
442,110,45,2024-01-11,6,7.41
443,139,98,2024-03-20,1,53.09
444,143,62,2024-03-04,1,118.65
445,137,37,2024-01-30,1,16.48
446,129,164,2024-02-02,1,10.45
447,129,66,2024-03-26,3,11.02
448,100,120,2024-02-06,1,43.37
449,143,140,2024-01-21,1,118.34
450,104,114,2024-02-14,5,23.39
451,137,77,2024-03-22,3,16.77
452,127,177,2024-02-02,1,69.46
453,129,78,2024-01-26,2,10.1
454,124,124,2024-01-14,2,52.24
455,115,98,2024-03-14,1,27.33
456,122,148,2024-02-07,1,39.4
457,144,76,2024-01-03,1,33.99
458,142,102,2024-02-05,1,8.69
459,100,145,2024-03-28,3,46.12
460,149,191,2024-01-07,3,26.13
461,138,191,2024-03-04,3,91.0
462,118,199,2024-01-30,4,51.55
463,138,91,2024-01-29,1,79.71
464,140,49,2024-03-20,3,17.32
465,116,174,2024-03-25,2,40.76
466,143,36,2024-03-21,2,115.51
467,106,161,2024-03-23,1,10.69
468,102,80,2024-02-26,3,89.1
469,102,149,2024-02-16,3,88.02
470,146,34,2024-01-12,1,43.46
471,118,84,2024-02-23,4,56.8
472,111,52,2024-01-17,1,118.64
473,134,94,2024-03-08,2,106.57
474,132,70,2024-01-22,5,11.57
475,116,124,2024-02-07,6,39.56
476,147,87,2024-01-15,1,65.35
477,129,20,2024-01-19,5,10.82
478,148,58,2024-03-27,4,70.03
479,146,173,2024-02-20,3,43.7
480,135,94,2024-01-12,1,97.76
481,125,4,2024-02-03,1,104.59
482,134,32,2024-02-28,5,105.36
483,123,173,2024-03-27,3,51.14
484,116,150,2024-02-18,1,40.53
485,140,96,2024-01-14,5,17.26
486,143,60,2024-03-01,3,105.13
487,101,159,2024-03-12,5,125.1
488,120,157,2024-01-29,5,74.97
489,141,17,2024-03-22,4,66.22
490,129,180,2024-02-08,2,11.02
491,141,105,2024-01-15,1,63.14
492,108,12,2024-01-05,1,68.5
493,119,127,2024-01-15,1,40.0
494,106,61,2024-03-09,2,12.21
495,108,100,2024-02-28,1,71.39
496,123,172,2024-03-30,2,49.87
497,134,108,2024-03-16,2,118.97
498,147,187,2024-01-20,5,66.31
499,126,168,2024-01-13,1,25.3
500,131,158,2024-02-22,5,22.25
501,117,9,2024-03-29,5,65.73
